,기간,김승민
830,2021-09-20,2.75478
831,2021-09-21,2.74782
832,2021-09-22,3.6313
833,2021-09-23,2.59478
834,2021-09-24,2.35826
835,2021-09-25,2.85913
836,2021-09-26,3.2
837,2021-09-27,4.49391
838,2021-09-28,3.05391
839,2021-09-29,2.78956
840,2021-09-30,2.60869
841,2021-10-01,2.99826
842,2021-10-02,3.17217
843,2021-10-03,3.1026
844,2021-10-04,3.09565
845,2021-10-05,2.82434
846,2021-10-06,2.82434
847,2021-10-07,2.90782
848,2021-10-08,3.13043
849,2021-10-09,2.92173
850,2021-10-10,3.24173
851,2021-10-11,3.01913
852,2021-10-12,2.39304
853,2021-10-13,2.38608
854,2021-10-14,3.17217
855,2021-10-15,2.53913
856,2021-10-16,2.46956
857,2021-10-17,3.30434
858,2021-10-18,3.22782
859,2021-10-19,12.48695
860,2021-10-20,9.76
861,2021-10-21,6.56
862,2021-10-22,6.17043
863,2021-10-23,5.11304
864,2021-10-24,5.04347
865,2021-10-25,4.41739
866,2021-10-26,4.48695
867,2021-10-27,3.60347
868,2021-10-28,3.77043
869,2021-10-29,3.65913
870,2021-10-30,4.08347
871,2021-10-31,3.51304
872,2021-11-01,3.49217
873,2021-11-02,7.1513
874,2021-11-03,7.23478
875,2021-11-04,6.10782
876,2021-11-05,4.67478
877,2021-11-06,3.98608
878,2021-11-07,3.84695
879,2021-11-08,3.6313
880,2021-11-09,3.37391
881,2021-11-10,3.20695
882,2021-11-11,22.76173
883,2021-11-12,7.03304
884,2021-11-13,5.88521
885,2021-11-14,4.94608
886,2021-11-15,3.82608
887,2021-11-16,3.61043
888,2021-11-17,3.88869
889,2021-11-18,2.96347
890,2021-11-19,3.10956
891,2021-11-20,3.06086
892,2021-11-21,2.80347
893,2021-11-22,3.01913
894,2021-11-23,2.71304
895,2021-11-24,2.54608
896,2021-11-25,2.76869
897,2021-11-26,3.12347
898,2021-11-27,3.08173
899,2021-11-28,3.79826
900,2021-11-29,2.73391
901,2021-11-30,3.49217
902,2021-12-01,2.72695
903,2021-12-02,3.25565
904,2021-12-03,2.72695
905,2021-12-04,3.42956
906,2021-12-05,2.94956
907,2021-12-06,4.12521
908,2021-12-07,3.76347
909,2021-12-08,4.2226
910,2021-12-09,3.5826
911,2021-12-10,3.75652
912,2021-12-11,3.56869
913,2021-12-12,4.04173
914,2021-12-13,3.93739
915,2021-12-14,3.68695
916,2021-12-15,3.43652
917,2021-12-16,3.54086
918,2021-12-17,3.83304
919,2021-12-18,3.56173
920,2021-12-19,3.67304
921,2021-12-20,3.70086
922,2021-12-21,3.04695
923,2021-12-22,3.27652
924,2021-12-23,3.04695
925,2021-12-24,2.8313
926,2021-12-25,2.92869
927,2021-12-26,3.1026
928,2021-12-27,3.32521
929,2021-12-28,2.97043
930,2021-12-29,3.40869
931,2021-12-30,3.18608
932,2021-12-31,5.77391
933,2022-01-01,3.04695
934,2022-01-02,3.69391
935,2022-01-03,3.73565
936,2022-01-04,4.11826
937,2022-01-05,3.61739
938,2022-01-06,3.24869
939,2022-01-07,3.54782
940,2022-01-08,3.63826
941,2022-01-09,3.33217
942,2022-01-10,3.33217
943,2022-01-11,2.9426
944,2022-01-12,2.84521
945,2022-01-13,3.16521
946,2022-01-14,2.69913
947,2022-01-15,3.01217
948,2022-01-16,3.68695
949,2022-01-17,3.01913
950,2022-01-18,2.98434
951,2022-01-19,2.95652
952,2022-01-20,3.28347
953,2022-01-21,3.70086
954,2022-01-22,3.18608
955,2022-01-23,3.73565
956,2022-01-24,3.32521
957,2022-01-25,3.20695
958,2022-01-26,3.1026
959,2022-01-27,3.14434
960,2022-01-28,3.22782
961,2022-01-29,3.51304
962,2022-01-30,3.20695
963,2022-01-31,3.18608
964,2022-02-01,3.37391
965,2022-02-02,3.45043
966,2022-02-03,3.24173
967,2022-02-04,4.18782
968,2022-02-05,3.54086
969,2022-02-06,3.49913
970,2022-02-07,3.19304
971,2022-02-08,3.09565
972,2022-02-09,3.01913
973,2022-02-10,2.90086
974,2022-02-11,3.18608
975,2022-02-12,3.65217
976,2022-02-13,3.30434
977,2022-02-14,3.34608
978,2022-02-15,2.69913
979,2022-02-16,3.25565
980,2022-02-17,2.86608
981,2022-02-18,3.35304
982,2022-02-19,3.2
983,2022-02-20,3.64521
984,2022-02-21,3.42956
985,2022-02-22,5.65565
986,2022-02-23,9.15478
987,2022-02-24,5.64869
988,2022-02-25,6.01043
989,2022-02-26,5.46086
990,2022-02-27,4.80695
991,2022-02-28,3.41565
992,2022-03-01,4.86956
993,2022-03-02,4.51478
994,2022-03-03,3.9026
995,2022-03-04,3.83999
996,2022-03-05,4.36173
997,2022-03-06,3.92347
998,2022-03-07,3.7426
999,2022-03-08,4.0626
1000,2022-03-09,3.35304
