,기간,손석구
492,2020-10-17,0.06127
493,2020-10-18,0.05346
494,2020-10-19,0.04983
495,2020-10-20,0.05444
496,2020-10-21,0.05281
497,2020-10-22,0.06712
498,2020-10-23,0.04576
499,2020-10-24,0.04874
500,2020-10-25,0.05801
501,2020-10-26,0.06213
502,2020-10-27,0.06284
503,2020-10-28,0.05975
504,2020-10-29,0.061
505,2020-10-30,0.06902
506,2020-10-31,0.07851
507,2020-11-01,0.09944
508,2020-11-02,0.06832
509,2020-11-03,0.08816
510,2020-11-04,0.07802
511,2020-11-05,0.07249
512,2020-11-06,0.06935
513,2020-11-07,0.07412
514,2020-11-08,0.0835
515,2020-11-09,0.0803
516,2020-11-10,0.07873
517,2020-11-11,0.07043
518,2020-11-12,0.06555
519,2020-11-13,0.06745
520,2020-11-14,0.08724
521,2020-11-15,0.07846
522,2020-11-16,0.07076
523,2020-11-17,0.09288
524,2020-11-18,0.17785
525,2020-11-19,0.13496
526,2020-11-20,0.11636
527,2020-11-21,0.09472
528,2020-11-22,0.08946
529,2020-11-23,0.07374
530,2020-11-24,0.07108
531,2020-11-25,0.07331
532,2020-11-26,0.09798
533,2020-11-27,0.10812
534,2020-11-28,0.09792
535,2020-11-29,0.10508
536,2020-11-30,0.07813
537,2020-12-01,0.06739
538,2020-12-02,0.08106
539,2020-12-03,0.06539
540,2020-12-04,0.07379
541,2020-12-05,0.06994
542,2020-12-06,0.07819
543,2020-12-07,0.0668
544,2020-12-08,0.05872
545,2020-12-09,0.05682
546,2020-12-10,0.06073
547,2020-12-11,0.05433
548,2020-12-12,0.079
549,2020-12-13,0.06734
550,2020-12-14,0.05227
551,2020-12-15,0.06148
552,2020-12-16,0.05617
553,2020-12-17,0.09114
554,2020-12-18,0.07206
555,2020-12-19,0.05953
556,2020-12-20,0.09082
557,2020-12-21,0.05243
558,2020-12-22,0.05237
559,2020-12-23,0.06213
560,2020-12-24,0.05378
561,2020-12-25,0.05406
562,2020-12-26,0.06951
563,2020-12-27,0.08073
564,2020-12-28,0.06512
565,2020-12-29,0.07314
