,기간,우크라이나
380,2020-06-27,0.07047
381,2020-06-28,0.088
382,2020-06-29,0.06493
383,2020-06-30,0.13428
384,2020-07-01,0.07146
385,2020-07-02,0.06592
386,2020-07-03,0.06209
387,2020-07-04,0.05702
388,2020-07-05,0.1058
389,2020-07-06,0.06724
390,2020-07-07,0.08082
391,2020-07-08,0.07238
392,2020-07-09,0.06829
393,2020-07-10,0.06677
394,2020-07-11,0.06783
395,2020-07-12,0.06691
396,2020-07-13,0.06935
397,2020-07-14,0.07132
398,2020-07-15,0.06618
399,2020-07-16,0.0677
400,2020-07-17,0.07033
401,2020-07-18,0.06143
402,2020-07-19,0.06842
403,2020-07-20,0.0967
404,2020-07-21,0.06453
405,2020-07-22,0.08345
406,2020-07-23,0.06902
407,2020-07-24,0.06895
408,2020-07-25,0.05768
409,2020-07-26,0.0671
410,2020-07-27,0.0822
411,2020-07-28,0.07297
412,2020-07-29,0.06888
413,2020-07-30,0.06704
414,2020-07-31,0.07086
415,2020-08-01,0.09011
416,2020-08-02,0.07409
417,2020-08-03,0.07192
418,2020-08-04,0.0797
419,2020-08-05,0.08642
420,2020-08-06,0.07502
421,2020-08-07,0.06677
422,2020-08-08,0.06256
423,2020-08-09,0.06763
424,2020-08-10,0.07
425,2020-08-11,0.07488
426,2020-08-12,0.07165
427,2020-08-13,0.06796
428,2020-08-14,0.06104
429,2020-08-15,0.05504
430,2020-08-16,0.06137
431,2020-08-17,0.07759
432,2020-08-18,0.06961
433,2020-08-19,0.06605
434,2020-08-20,0.0673
435,2020-08-21,0.06328
436,2020-08-22,0.05893
437,2020-08-23,0.06974
438,2020-08-24,0.07502
439,2020-08-25,0.05992
440,2020-08-26,0.06981
441,2020-08-27,0.06796
442,2020-08-28,0.07297
443,2020-08-29,0.07442
444,2020-08-30,0.07752
445,2020-08-31,0.07561
446,2020-09-01,0.93979
447,2020-09-02,0.08095
448,2020-09-03,0.09196
449,2020-09-04,0.08899
450,2020-09-05,0.07277
451,2020-09-06,0.2768
452,2020-09-07,0.10396
453,2020-09-08,0.08352
454,2020-09-09,0.10508
455,2020-09-10,0.09288
456,2020-09-11,0.07469
457,2020-09-12,0.07324
458,2020-09-13,0.07053
459,2020-09-14,0.06631
460,2020-09-15,0.06638
461,2020-09-16,0.07033
462,2020-09-17,0.07198
463,2020-09-18,0.07291
464,2020-09-19,0.07119
465,2020-09-20,0.08991
466,2020-09-21,0.06493
467,2020-09-22,0.06776
468,2020-09-23,0.06862
469,2020-09-24,0.07113
470,2020-09-25,0.06691
471,2020-09-26,0.07818
472,2020-09-27,0.09466
473,2020-09-28,0.08939
474,2020-09-29,0.08767
475,2020-09-30,0.07
476,2020-10-01,0.07389
477,2020-10-02,0.08635
478,2020-10-03,0.07581
479,2020-10-04,0.11101
480,2020-10-05,0.07745
481,2020-10-06,0.17601
482,2020-10-07,0.08372
483,2020-10-08,0.10363
484,2020-10-09,0.09215
485,2020-10-10,0.08813
486,2020-10-11,0.08682
487,2020-10-12,0.08022
488,2020-10-13,0.07956
489,2020-10-14,0.10521
490,2020-10-15,0.07785
491,2020-10-16,0.07534
492,2020-10-17,0.06499
493,2020-10-18,0.0702
494,2020-10-19,0.06842
495,2020-10-20,0.07752
496,2020-10-21,0.07462
497,2020-10-22,0.07356
498,2020-10-23,0.06289
499,2020-10-24,0.06091
500,2020-10-25,0.06401
501,2020-10-26,0.06974
502,2020-10-27,0.06559
503,2020-10-28,0.06803
504,2020-10-29,0.06486
505,2020-10-30,0.06585
506,2020-10-31,0.05755
507,2020-11-01,0.06816
508,2020-11-02,0.07515
509,2020-11-03,0.07277
510,2020-11-04,0.0708
511,2020-11-05,0.06882
512,2020-11-06,0.06809
513,2020-11-07,0.06143
514,2020-11-08,0.07178
515,2020-11-09,0.06803
516,2020-11-10,0.07838
517,2020-11-11,0.07567
518,2020-11-12,0.07759
519,2020-11-13,0.08207
520,2020-11-14,0.06513
521,2020-11-15,0.08635
522,2020-11-16,0.076
523,2020-11-17,0.08332
524,2020-11-18,0.07989
525,2020-11-19,0.07752
526,2020-11-20,0.07752
527,2020-11-21,0.07
528,2020-11-22,0.0826
529,2020-11-23,0.07146
530,2020-11-24,0.08339
531,2020-11-25,0.07132
532,2020-11-26,0.07027
533,2020-11-27,0.0704
534,2020-11-28,0.0677
535,2020-11-29,0.06605
536,2020-11-30,0.06921
537,2020-12-01,0.07073
538,2020-12-02,0.09677
539,2020-12-03,0.09644
540,2020-12-04,0.07897
541,2020-12-05,0.06908
542,2020-12-06,0.08925
543,2020-12-07,0.07765
544,2020-12-08,0.07739
545,2020-12-09,0.08708
546,2020-12-10,0.1269
547,2020-12-11,0.11819
548,2020-12-12,0.10132
549,2020-12-13,0.08675
550,2020-12-14,0.09064
551,2020-12-15,0.09426
552,2020-12-16,0.09242
553,2020-12-17,0.08675
554,2020-12-18,0.07647
555,2020-12-19,0.07488
556,2020-12-20,0.07699
557,2020-12-21,0.08246
558,2020-12-22,0.07745
559,2020-12-23,0.08187
560,2020-12-24,0.07297
561,2020-12-25,0.07581
562,2020-12-26,0.07436
563,2020-12-27,0.08161
564,2020-12-28,0.07607
565,2020-12-29,0.06552
566,2020-12-30,0.07238
567,2020-12-31,0.07389
568,2021-01-01,0.06902
569,2021-01-02,0.08339
570,2021-01-03,0.08695
571,2021-01-04,0.07811
572,2021-01-05,0.08134
573,2021-01-06,0.08035
574,2021-01-07,0.08326
575,2021-01-08,0.15729
576,2021-01-09,0.13026
577,2021-01-10,0.1211
578,2021-01-11,0.09578
579,2021-01-12,0.09809
580,2021-01-13,0.10929
581,2021-01-14,0.09301
582,2021-01-15,0.15603
583,2021-01-16,0.15267
584,2021-01-17,0.17317
585,2021-01-18,0.10587
586,2021-01-19,0.08774
587,2021-01-20,0.08629
588,2021-01-21,0.09512
589,2021-01-22,0.1207
590,2021-01-23,0.09941
591,2021-01-24,0.08787
592,2021-01-25,0.08457
593,2021-01-26,0.09117
594,2021-01-27,0.08813
595,2021-01-28,0.07495
596,2021-01-29,0.08675
597,2021-01-30,0.076
598,2021-01-31,0.0789
599,2021-02-01,0.07469
600,2021-02-02,0.08372
601,2021-02-03,0.07706
602,2021-02-04,0.06519
603,2021-02-05,0.06697
604,2021-02-06,0.07277
605,2021-02-07,0.08246
606,2021-02-08,0.07772
607,2021-02-09,0.08728
608,2021-02-10,0.07647
609,2021-02-11,0.07871
610,2021-02-12,0.07627
611,2021-02-13,0.08141
612,2021-02-14,0.09169
613,2021-02-15,0.09611
614,2021-02-16,0.09209
615,2021-02-17,0.08207
616,2021-02-18,0.08477
617,2021-02-19,0.07877
618,2021-02-20,0.08121
619,2021-02-21,0.082
620,2021-02-22,0.09407
621,2021-02-23,0.2089
622,2021-02-24,0.11213
623,2021-02-25,0.13098
624,2021-02-26,0.10191
625,2021-02-27,0.1122
626,2021-02-28,0.12696
627,2021-03-01,0.11641
628,2021-03-02,0.11444
629,2021-03-03,0.08939
630,2021-03-04,0.07792
631,2021-03-05,0.07508
632,2021-03-06,0.06717
633,2021-03-07,0.07337
634,2021-03-08,0.0737
635,2021-03-09,0.06315
636,2021-03-10,0.0675
637,2021-03-11,0.06631
638,2021-03-12,0.08082
639,2021-03-13,0.0673
640,2021-03-14,0.07093
641,2021-03-15,0.07165
642,2021-03-16,0.08708
643,2021-03-17,0.07324
644,2021-03-18,0.06658
645,2021-03-19,0.10363
646,2021-03-20,0.07284
647,2021-03-21,0.08174
648,2021-03-22,0.07033
649,2021-03-23,0.07765
650,2021-03-24,0.07719
651,2021-03-25,0.08279
652,2021-03-26,0.08668
653,2021-03-27,0.0853
654,2021-03-28,0.09789
655,2021-03-29,0.08978
656,2021-03-30,0.06908
657,2021-03-31,0.07475
658,2021-04-01,0.14727
659,2021-04-02,0.08602
660,2021-04-03,0.07475
661,2021-04-04,0.07218
662,2021-04-05,0.0737
663,2021-04-06,0.08444
664,2021-04-07,0.09367
665,2021-04-08,0.0733
666,2021-04-09,0.09796
667,2021-04-10,0.14595
668,2021-04-11,0.12175
669,2021-04-12,0.10626
670,2021-04-13,0.12406
671,2021-04-14,0.11477
672,2021-04-15,0.15597
673,2021-04-16,0.11549
674,2021-04-17,0.09637
675,2021-04-18,0.1027
676,2021-04-19,0.09222
677,2021-04-20,0.082
678,2021-04-21,0.1091
679,2021-04-22,0.11615
680,2021-04-23,0.11417
681,2021-04-24,0.19961
682,2021-04-25,0.1412
683,2021-04-26,0.07871
684,2021-04-27,0.07594
685,2021-04-28,0.08767
686,2021-04-29,0.09901
687,2021-04-30,0.0878
688,2021-05-01,0.0791
689,2021-05-02,0.10389
690,2021-05-03,0.07785
691,2021-05-04,0.07838
692,2021-05-05,0.08365
693,2021-05-06,0.08016
694,2021-05-07,0.07225
695,2021-05-08,0.07
696,2021-05-09,0.07699
697,2021-05-10,0.06499
698,2021-05-11,0.07205
699,2021-05-12,0.06796
700,2021-05-13,0.07508
