,기간,범죄도시2
452,2020-09-07,0.16121
453,2020-09-08,0.17583
454,2020-09-09,0.11197
455,2020-09-10,0.16312
456,2020-09-11,0.10151
457,2020-09-12,0.25137
458,2020-09-13,17.58619
459,2020-09-14,11.29789
460,2020-09-15,1.26161
461,2020-09-16,0.65868
462,2020-09-17,0.50073
463,2020-09-18,0.34098
464,2020-09-19,0.28465
465,2020-09-20,0.28072
466,2020-09-21,0.26464
467,2020-09-22,0.22091
468,2020-09-23,0.37155
469,2020-09-24,0.35964
470,2020-09-25,0.24564
471,2020-09-26,0.22001
472,2020-09-27,0.22855
473,2020-09-28,0.17661
474,2020-09-29,0.16099
475,2020-09-30,0.15694
476,2020-10-01,0.20899
477,2020-10-02,0.72884
478,2020-10-03,0.17999
479,2020-10-04,0.18842
480,2020-10-05,0.17819
481,2020-10-06,0.13108
482,2020-10-07,0.23451
483,2020-10-08,0.15739
484,2020-10-09,0.17605
485,2020-10-10,0.18111
486,2020-10-11,0.15379
487,2020-10-12,0.11422
488,2020-10-13,0.10815
489,2020-10-14,0.27285
490,2020-10-15,0.10151
491,2020-10-16,0.10871
492,2020-10-17,0.13704
493,2020-10-18,0.14221
494,2020-10-19,0.12568
495,2020-10-20,0.12681
496,2020-10-21,0.12063
497,2020-10-22,0.12535
498,2020-10-23,0.12568
499,2020-10-24,0.12602
500,2020-10-25,0.12546
501,2020-10-26,0.12287
502,2020-10-27,0.12681
503,2020-10-28,0.14491
504,2020-10-29,0.13041
505,2020-10-30,0.172
506,2020-10-31,0.18122
507,2020-11-01,0.21652
508,2020-11-02,0.14918
509,2020-11-03,0.14896
510,2020-11-04,0.13592
511,2020-11-05,0.11939
512,2020-11-06,0.11871
513,2020-11-07,0.14468
514,2020-11-08,0.15491
515,2020-11-09,0.11557
516,2020-11-10,0.11287
517,2020-11-11,0.10938
518,2020-11-12,0.17976
519,2020-11-13,0.19449
520,2020-11-14,0.63687
521,2020-11-15,0.2643
522,2020-11-16,0.21731
523,2020-11-17,0.20393
524,2020-11-18,0.24789
525,2020-11-19,0.23901
526,2020-11-20,0.24744
527,2020-11-21,0.24699
528,2020-11-22,0.25407
529,2020-11-23,0.20944
530,2020-11-24,0.29398
531,2020-11-25,0.18954
532,2020-11-26,0.60832
533,2020-11-27,0.3747
534,2020-11-28,0.24238
535,2020-11-29,0.23991
536,2020-11-30,0.23103
537,2020-12-01,0.21113
538,2020-12-02,0.26711
539,2020-12-03,0.24958
540,2020-12-04,0.39269
541,2020-12-05,0.25857
542,2020-12-06,0.26768
543,2020-12-07,0.19809
544,2020-12-08,0.19966
545,2020-12-09,0.18696
546,2020-12-10,0.18617
547,2020-12-11,0.18752
548,2020-12-12,0.21776
549,2020-12-13,0.24272
550,2020-12-14,0.17358
551,2020-12-15,0.20258
552,2020-12-16,0.18999
553,2020-12-17,0.27791
554,2020-12-18,0.19595
555,2020-12-19,0.22709
556,2020-12-20,0.59528
557,2020-12-21,0.1828
558,2020-12-22,0.17942
559,2020-12-23,0.19179
560,2020-12-24,0.1747
561,2020-12-25,0.2109
562,2020-12-26,0.22619
563,2020-12-27,0.3385
564,2020-12-28,0.21776
565,2020-12-29,0.19235
566,2020-12-30,0.21349
567,2020-12-31,0.19865
568,2021-01-01,0.36829
569,2021-01-02,0.3973
570,2021-01-03,1.2914
571,2021-01-04,8.32665
572,2021-01-05,0.47038
573,2021-01-06,0.39764
574,2021-01-07,0.41405
575,2021-01-08,0.34457
576,2021-01-09,0.44665
577,2021-01-10,0.30354
578,2021-01-11,0.25385
579,2021-01-12,8.67685
580,2021-01-13,1.12468
581,2021-01-14,0.46633
582,2021-01-15,0.41945
583,2021-01-16,2.17944
584,2021-01-17,0.31894
585,2021-01-18,0.25632
586,2021-01-19,0.29308
587,2021-01-20,0.25857
