,기간,손흥민
416,2020-08-02,0.98294
417,2020-08-03,0.95115
418,2020-08-04,0.93464
419,2020-08-05,0.83533
420,2020-08-06,0.98128
421,2020-08-07,0.88813
422,2020-08-08,0.94881
423,2020-08-09,0.90809
424,2020-08-10,0.86576
425,2020-08-11,0.86761
426,2020-08-12,0.88917
427,2020-08-13,1.19512
428,2020-08-14,1.57763
429,2020-08-15,1.14275
430,2020-08-16,0.99021
431,2020-08-17,1.07942
432,2020-08-18,0.98017
433,2020-08-19,0.92102
434,2020-08-20,0.87728
435,2020-08-21,0.80563
436,2020-08-22,1.65169
437,2020-08-23,16.60101
438,2020-08-24,1.35135
439,2020-08-25,0.94407
440,2020-08-26,1.10886
441,2020-08-27,1.01953
442,2020-08-28,1.4161
443,2020-08-29,3.26001
444,2020-08-30,1.67984
445,2020-08-31,1.08798
446,2020-09-01,1.0
447,2020-09-02,0.99058
448,2020-09-03,1.01331
449,2020-09-04,1.01159
450,2020-09-05,1.66358
451,2020-09-06,5.49087
452,2020-09-07,2.0254
453,2020-09-08,1.17965
454,2020-09-09,1.07387
455,2020-09-10,1.01596
456,2020-09-11,1.16708
457,2020-09-12,1.95455
458,2020-09-13,2.73517
459,2020-09-14,10.36955
460,2020-09-15,1.21785
461,2020-09-16,1.24705
462,2020-09-17,1.58829
463,2020-09-18,2.81483
464,2020-09-19,1.28204
465,2020-09-20,44.2264
466,2020-09-21,60.80826
467,2020-09-22,5.28867
468,2020-09-23,3.22224
469,2020-09-24,2.3704
470,2020-09-25,13.31654
471,2020-09-26,3.90916
472,2020-09-27,7.39491
473,2020-09-28,12.43691
474,2020-09-29,4.1912
475,2020-09-30,3.74652
476,2020-10-01,2.36664
477,2020-10-02,2.43207
478,2020-10-03,2.49312
479,2020-10-04,6.75062
480,2020-10-05,37.45613
481,2020-10-06,5.42446
482,2020-10-07,3.35193
483,2020-10-08,2.8757
484,2020-10-09,2.73844
485,2020-10-10,2.36411
486,2020-10-11,2.17683
487,2020-10-12,2.11245
488,2020-10-13,1.83053
489,2020-10-14,2.00365
490,2020-10-15,1.78082
491,2020-10-16,1.86516
492,2020-10-17,2.09618
493,2020-10-18,3.33603
494,2020-10-19,38.12284
495,2020-10-20,3.41852
496,2020-10-21,2.67307
497,2020-10-22,2.46355
498,2020-10-23,16.0596
499,2020-10-24,4.46036
500,2020-10-25,3.28373
501,2020-10-26,3.42585
502,2020-10-27,32.92695
503,2020-10-28,4.3483
504,2020-10-29,3.66982
505,2020-10-30,4.74407
506,2020-10-31,2.225
507,2020-11-01,2.59878
508,2020-11-02,5.56449
509,2020-11-03,1.81014
510,2020-11-04,1.75722
511,2020-11-05,1.89362
512,2020-11-06,17.8265
513,2020-11-07,2.64554
514,2020-11-08,5.04804
515,2020-11-09,3.52356
