,기간,세븐틴
358,2020-06-05,3.18988
359,2020-06-06,3.04605
360,2020-06-07,3.61251
361,2020-06-08,5.93415
362,2020-06-09,6.48091
363,2020-06-10,4.24562
364,2020-06-11,3.9005
365,2020-06-12,10.08225
366,2020-06-13,5.15261
367,2020-06-14,4.85608
368,2020-06-15,5.01765
369,2020-06-16,4.58353
370,2020-06-17,4.72998
371,2020-06-18,4.26106
372,2020-06-19,6.93539
373,2020-06-20,6.2425
374,2020-06-21,5.84779
375,2020-06-22,46.61719
376,2020-06-23,22.04121
377,2020-06-24,8.6584
378,2020-06-25,10.45398
379,2020-06-26,11.95665
380,2020-06-27,11.14653
381,2020-06-28,11.79476
382,2020-06-29,7.62203
383,2020-06-30,6.80174
384,2020-07-01,7.25162
385,2020-07-02,7.65749
386,2020-07-03,7.06181
387,2020-07-04,7.668
388,2020-07-05,10.92258
389,2020-07-06,6.97052
390,2020-07-07,6.11608
391,2020-07-08,5.69017
392,2020-07-09,5.50562
393,2020-07-10,5.38773
394,2020-07-11,5.36277
395,2020-07-12,5.4314
396,2020-07-13,5.24915
397,2020-07-14,5.2416
398,2020-07-15,4.66923
399,2020-07-16,5.17987
400,2020-07-17,6.00311
401,2020-07-18,5.09514
402,2020-07-19,5.01469
403,2020-07-20,5.70823
404,2020-07-21,5.5158
405,2020-07-22,4.70273
406,2020-07-23,4.33626
407,2020-07-24,4.16616
408,2020-07-25,4.42787
409,2020-07-26,4.22428
410,2020-07-27,4.24891
411,2020-07-28,4.19571
412,2020-07-29,4.23676
413,2020-07-30,4.0706
414,2020-07-31,3.84303
415,2020-08-01,3.96946
416,2020-08-02,4.03874
417,2020-08-03,3.95008
418,2020-08-04,4.33363
419,2020-08-05,3.56391
420,2020-08-06,3.57835
421,2020-08-07,3.80494
422,2020-08-08,4.87053
423,2020-08-09,4.14809
424,2020-08-10,4.43707
425,2020-08-11,4.2696
426,2020-08-12,4.06764
427,2020-08-13,4.80157
428,2020-08-14,5.5204
429,2020-08-15,3.84795
430,2020-08-16,3.82333
431,2020-08-17,4.05878
432,2020-08-18,4.6469
433,2020-08-19,4.6272
434,2020-08-20,4.16353
435,2020-08-21,4.1875
436,2020-08-22,4.00295
437,2020-08-23,3.98587
438,2020-08-24,4.38748
439,2020-08-25,4.5034
440,2020-08-26,4.59272
441,2020-08-27,4.35103
442,2020-08-28,4.29948
443,2020-08-29,5.62384
444,2020-08-30,6.05336
445,2020-08-31,5.9266
446,2020-09-01,4.61571
