,기간,아우터
335,2020-05-13,2.32347
336,2020-05-14,2.0313
337,2020-05-15,2.12869
338,2020-05-16,2.26086
339,2020-05-17,2.37217
340,2020-05-18,2.06608
341,2020-05-19,2.63652
342,2020-05-20,2.56695
343,2020-05-21,1.86434
344,2020-05-22,2.21217
345,2020-05-23,2.20521
346,2020-05-24,2.35826
347,2020-05-25,2.16347
348,2020-05-26,2.22608
349,2020-05-27,2.10086
350,2020-05-28,1.71826
351,2020-05-29,1.75304
352,2020-05-30,1.5513
353,2020-05-31,2.02434
354,2020-06-01,1.54434
355,2020-06-02,2.00347
356,2020-06-03,1.67652
357,2020-06-04,1.5026
358,2020-06-05,1.33565
359,2020-06-06,1.36347
360,2020-06-07,1.64869
361,2020-06-08,1.42608
362,2020-06-09,1.30086
363,2020-06-10,1.25913
364,2020-06-11,1.0713
365,2020-06-12,1.01565
366,2020-06-13,1.15478
367,2020-06-14,1.05043
368,2020-06-15,1.27304
369,2020-06-16,1.46782
370,2020-06-17,1.82956
371,2020-06-18,1.50956
372,2020-06-19,1.01565
373,2020-06-20,0.98086
374,2020-06-21,1.14782
375,2020-06-22,1.21739
376,2020-06-23,1.14086
377,2020-06-24,0.97391
378,2020-06-25,1.11304
379,2020-06-26,1.17565
380,2020-06-27,1.28695
381,2020-06-28,1.76695
382,2020-06-29,1.46782
383,2020-06-30,1.38434
384,2020-07-01,1.23826
385,2020-07-02,1.14086
386,2020-07-03,1.46782
387,2020-07-04,1.15478
388,2020-07-05,1.12695
389,2020-07-06,1.32173
390,2020-07-07,1.41913
391,2020-07-08,1.0713
392,2020-07-09,1.15478
393,2020-07-10,1.29391
394,2020-07-11,1.13391
395,2020-07-12,1.20347
396,2020-07-13,1.48869
397,2020-07-14,1.67652
398,2020-07-15,1.42608
399,2020-07-16,1.49565
400,2020-07-17,1.09913
401,2020-07-18,1.36347
402,2020-07-19,1.46782
403,2020-07-20,1.47478
404,2020-07-21,1.45391
405,2020-07-22,1.44
406,2020-07-23,1.54434
407,2020-07-24,1.28695
408,2020-07-25,1.24521
409,2020-07-26,1.24521
410,2020-07-27,1.34956
411,2020-07-28,1.46086
412,2020-07-29,1.1826
413,2020-07-30,1.39826
414,2020-07-31,1.1826
415,2020-08-01,1.09217
416,2020-08-02,1.27304
417,2020-08-03,1.36347
418,2020-08-04,1.30086
419,2020-08-05,1.43304
420,2020-08-06,1.21739
