,기간,캠핑
319,2020-04-27,55.86086
320,2020-04-28,50.24695
321,2020-04-29,49.40521
322,2020-04-30,48.77913
323,2020-05-01,47.95826
324,2020-05-02,40.53565
325,2020-05-03,43.65217
326,2020-05-04,39.49217
327,2020-05-05,37.11304
328,2020-05-06,35.16521
329,2020-05-07,30.41391
330,2020-05-08,22.28869
331,2020-05-09,25.98956
332,2020-05-10,32.98086
333,2020-05-11,33.16869
334,2020-05-12,32.61217
335,2020-05-13,30.41391
336,2020-05-14,30.01043
337,2020-05-15,30.37217
338,2020-05-16,31.52695
339,2020-05-17,41.37739
340,2020-05-18,43.56869
341,2020-05-19,37.58608
342,2020-05-20,36.31304
343,2020-05-21,34.90086
344,2020-05-22,34.18434
345,2020-05-23,35.17217
346,2020-05-24,44.33391
347,2020-05-25,42.08695
348,2020-05-26,38.68521
349,2020-05-27,35.56869
350,2020-05-28,32.55652
351,2020-05-29,33.48173
352,2020-05-30,33.89217
353,2020-05-31,40.12521
354,2020-06-01,41.69739
355,2020-06-02,39.42956
356,2020-06-03,36.42434
357,2020-06-04,35.81217
358,2020-06-05,34.63652
359,2020-06-06,34.51826
360,2020-06-07,43.24173
361,2020-06-08,42.8313
362,2020-06-09,36.55652
363,2020-06-10,30.54608
364,2020-06-11,29.89217
365,2020-06-12,27.9026
366,2020-06-13,30.50434
367,2020-06-14,35.1026
368,2020-06-15,36.8
369,2020-06-16,33.89913
370,2020-06-17,31.12347
371,2020-06-18,31.96521
372,2020-06-19,33.20347
373,2020-06-20,33.04347
374,2020-06-21,38.38608
375,2020-06-22,36.93217
376,2020-06-23,33.25217
377,2020-06-24,30.88
378,2020-06-25,31.68
379,2020-06-26,30.76173
380,2020-06-27,33.66956
381,2020-06-28,41.81565
382,2020-06-29,39.93043
383,2020-06-30,34.03826
384,2020-07-01,35.52695
385,2020-07-02,36.42434
386,2020-07-03,34.38608
387,2020-07-04,37.38434
388,2020-07-05,45.08521
389,2020-07-06,44.0
390,2020-07-07,38.35826
391,2020-07-08,37.48173
392,2020-07-09,38.03826
393,2020-07-10,35.29739
394,2020-07-11,35.83304
395,2020-07-12,42.71304
396,2020-07-13,39.21391
397,2020-07-14,38.17043
398,2020-07-15,35.66608
399,2020-07-16,36.02782
400,2020-07-17,35.48521
401,2020-07-18,34.17739
402,2020-07-19,40.49391
403,2020-07-20,40.71652
404,2020-07-21,40.53565
405,2020-07-22,36.89043
406,2020-07-23,36.48695
407,2020-07-24,32.98086
408,2020-07-25,34.17739
409,2020-07-26,42.73391
410,2020-07-27,45.64869
411,2020-07-28,41.67652
412,2020-07-29,38.17043
413,2020-07-30,46.68521
414,2020-07-31,47.84
415,2020-08-01,34.92173
416,2020-08-02,45.05043
417,2020-08-03,42.56
418,2020-08-04,34.30956
419,2020-08-05,30.68521
420,2020-08-06,29.75304
421,2020-08-07,27.24869
422,2020-08-08,26.58086
423,2020-08-09,30.84521
424,2020-08-10,30.56
425,2020-08-11,29.59304
426,2020-08-12,29.03652
427,2020-08-13,29.32869
428,2020-08-14,28.45217
429,2020-08-15,26.33739
430,2020-08-16,29.31478
431,2020-08-17,28.50086
432,2020-08-18,26.12869
433,2020-08-19,26.1913
434,2020-08-20,23.70086
435,2020-08-21,25.47478
436,2020-08-22,24.58434
437,2020-08-23,26.1426
438,2020-08-24,26.14956
439,2020-08-25,22.42782
440,2020-08-26,20.20173
441,2020-08-27,22.3513
442,2020-08-28,22.69217
443,2020-08-29,22.26086
444,2020-08-30,26.10782
445,2020-08-31,25.7113
446,2020-09-01,24.23652
447,2020-09-02,24.3826
448,2020-09-03,25.79478
449,2020-09-04,29.18956
450,2020-09-05,27.06086
451,2020-09-06,31.08869
452,2020-09-07,29.44
453,2020-09-08,30.92173
454,2020-09-09,29.15478
455,2020-09-10,30.30956
