,기간,정태옥
965,2022-02-02,0.16
966,2022-02-03,0.13217
967,2022-02-04,0.34782
968,2022-02-05,0.23652
969,2022-02-06,0.08347
970,2022-02-07,0.12521
971,2022-02-08,0.21565
972,2022-02-09,0.22956
973,2022-02-10,0.18086
974,2022-02-11,0.11826
975,2022-02-12,0.41739
976,2022-02-13,0.38956
977,2022-02-14,0.38956
978,2022-02-15,0.29217
979,2022-02-16,0.23652
980,2022-02-17,0.16
981,2022-02-18,0.2226
982,2022-02-19,0.18086
983,2022-02-20,0.20173
984,2022-02-21,0.26434
985,2022-02-22,0.19478
986,2022-02-23,0.23652
987,2022-02-24,0.34086
988,2022-02-25,0.12521
989,2022-02-26,0.13217
990,2022-02-27,0.15304
991,2022-02-28,0.2226
992,2022-03-01,0.18782
993,2022-03-02,0.2713
994,2022-03-03,0.21565
995,2022-03-04,0.17391
996,2022-03-05,0.29913
997,2022-03-06,0.25739
998,2022-03-07,0.16
999,2022-03-08,0.25739
