,기간,방탄소년단
306,2020-04-14,24.49452
307,2020-04-15,22.8816
308,2020-04-16,22.95243
309,2020-04-17,23.6417
310,2020-04-18,25.3584
311,2020-04-19,24.60677
312,2020-04-20,22.2561
313,2020-04-21,22.11256
314,2020-04-22,20.09182
315,2020-04-23,22.06478
316,2020-04-24,21.81887
317,2020-04-25,20.10288
318,2020-04-26,19.23594
319,2020-04-27,25.22591
320,2020-04-28,25.28403
321,2020-04-29,21.44141
322,2020-04-30,22.18386
323,2020-05-01,20.48152
324,2020-05-02,19.58069
325,2020-05-03,22.53873
326,2020-05-04,21.52236
327,2020-05-05,23.59299
328,2020-05-06,26.86236
329,2020-05-07,24.11729
330,2020-05-08,21.43082
331,2020-05-09,21.23315
332,2020-05-10,20.28431
333,2020-05-11,20.83474
334,2020-05-12,22.37753
335,2020-05-13,23.43014
336,2020-05-14,24.19824
337,2020-05-15,22.59968
338,2020-05-16,19.25712
339,2020-05-17,19.15005
340,2020-05-18,44.58846
341,2020-05-19,33.16601
342,2020-05-20,23.8622
343,2020-05-21,20.88557
344,2020-05-22,25.47229
345,2020-05-23,24.4025
346,2020-05-24,22.00054
347,2020-05-25,22.16503
348,2020-05-26,20.33962
349,2020-05-27,19.12251
350,2020-05-28,19.57034
351,2020-05-29,19.52751
352,2020-05-30,18.70058
353,2020-05-31,20.74108
354,2020-06-01,24.16083
355,2020-06-02,21.04065
356,2020-06-03,19.33172
357,2020-06-04,20.38645
358,2020-06-05,22.88089
359,2020-06-06,21.43764
360,2020-06-07,22.56156
361,2020-06-08,20.96746
362,2020-06-09,18.60339
363,2020-06-10,18.09626
364,2020-06-11,17.46583
365,2020-06-12,18.29982
366,2020-06-13,26.20086
367,2020-06-14,28.88851
368,2020-06-15,23.04939
369,2020-06-16,19.63435
370,2020-06-17,18.35865
371,2020-06-18,17.20744
372,2020-06-19,18.39842
373,2020-06-20,17.62208
374,2020-06-21,20.02216
375,2020-06-22,18.02425
376,2020-06-23,18.34712
377,2020-06-24,18.42878
378,2020-06-25,17.14767
379,2020-06-26,17.0173
380,2020-06-27,17.02247
381,2020-06-28,16.83327
382,2020-06-29,17.21238
383,2020-06-30,17.9866
384,2020-07-01,16.72173
385,2020-07-02,18.45984
386,2020-07-03,18.33112
387,2020-07-04,16.71114
388,2020-07-05,16.66266
389,2020-07-06,18.46384
390,2020-07-07,20.03628
391,2020-07-08,17.40158
392,2020-07-09,18.1678
393,2020-07-10,18.47702
394,2020-07-11,16.7935
395,2020-07-12,16.92364
396,2020-07-13,17.15896
397,2020-07-14,18.29935
398,2020-07-15,17.51454
399,2020-07-16,16.41463
400,2020-07-17,16.43534
401,2020-07-18,17.00365
402,2020-07-19,17.16273
403,2020-07-20,16.93517
404,2020-07-21,17.66868
405,2020-07-22,17.22932
406,2020-07-23,16.73867
407,2020-07-24,16.81068
408,2020-07-25,16.0287
409,2020-07-26,15.70842
410,2020-07-27,25.08918
411,2020-07-28,21.15619
412,2020-07-29,19.55645
413,2020-07-30,17.32534
414,2020-07-31,16.39204
415,2020-08-01,17.05283
416,2020-08-02,16.91893
417,2020-08-03,18.73352
418,2020-08-04,18.39701
419,2020-08-05,17.92495
420,2020-08-06,17.50795
421,2020-08-07,18.08897
422,2020-08-08,17.99107
423,2020-08-09,17.60114
424,2020-08-10,17.6915
425,2020-08-11,22.24669
426,2020-08-12,18.85448
427,2020-08-13,21.90359
