,기간,승민
325,2020-05-03,0.61217
326,2020-05-04,0.91826
327,2020-05-05,1.03652
328,2020-05-06,1.18956
329,2020-05-07,1.6
330,2020-05-08,0.99478
331,2020-05-09,0.90434
332,2020-05-10,0.8
333,2020-05-11,0.82086
334,2020-05-12,1.0226
335,2020-05-13,0.80695
336,2020-05-14,0.73043
337,2020-05-15,0.8
338,2020-05-16,0.70956
339,2020-05-17,0.64
340,2020-05-18,0.61217
341,2020-05-19,0.56347
342,2020-05-20,0.64695
343,2020-05-21,0.64
344,2020-05-22,0.56347
345,2020-05-23,0.70956
346,2020-05-24,0.64
347,2020-05-25,0.5913
348,2020-05-26,1.61391
349,2020-05-27,0.96695
350,2020-05-28,0.78608
351,2020-05-29,0.67478
352,2020-05-30,0.64
353,2020-05-31,1.01565
354,2020-06-01,0.68173
355,2020-06-02,0.84869
356,2020-06-03,0.51478
357,2020-06-04,0.60521
358,2020-06-05,0.56347
359,2020-06-06,0.43826
360,2020-06-07,0.52173
361,2020-06-08,0.54956
362,2020-06-09,0.71652
363,2020-06-10,0.68869
364,2020-06-11,0.54956
365,2020-06-12,0.5913
366,2020-06-13,0.75826
367,2020-06-14,0.52869
368,2020-06-15,0.66086
369,2020-06-16,0.57043
370,2020-06-17,0.57043
371,2020-06-18,0.81391
372,2020-06-19,1.26608
373,2020-06-20,0.78608
374,2020-06-21,0.79304
375,2020-06-22,0.69565
376,2020-06-23,0.77217
377,2020-06-24,0.87652
378,2020-06-25,0.84173
379,2020-06-26,1.14782
380,2020-06-27,1.0226
381,2020-06-28,1.00869
382,2020-06-29,0.80695
383,2020-06-30,0.89043
384,2020-07-01,1.02956
385,2020-07-02,0.98086
386,2020-07-03,0.80695
387,2020-07-04,0.67478
388,2020-07-05,0.71652
389,2020-07-06,0.68869
390,2020-07-07,0.79304
391,2020-07-08,0.68173
392,2020-07-09,0.77913
393,2020-07-10,0.55652
394,2020-07-11,0.65391
395,2020-07-12,0.7513
396,2020-07-13,0.64695
397,2020-07-14,0.66086
398,2020-07-15,0.74434
399,2020-07-16,0.77217
400,2020-07-17,0.79304
401,2020-07-18,0.60521
402,2020-07-19,1.06434
403,2020-07-20,1.05043
404,2020-07-21,0.81391
405,2020-07-22,0.84869
406,2020-07-23,0.65391
407,2020-07-24,0.62608
408,2020-07-25,0.63304
409,2020-07-26,0.8626
410,2020-07-27,0.73739
411,2020-07-28,0.89043
412,2020-07-29,1.01565
413,2020-07-30,0.57043
414,2020-07-31,0.69565
415,2020-08-01,0.7513
416,2020-08-02,0.60521
417,2020-08-03,0.71652
418,2020-08-04,0.94608
419,2020-08-05,0.70956
420,2020-08-06,0.67478
421,2020-08-07,0.59826
422,2020-08-08,0.66086
423,2020-08-09,0.89739
424,2020-08-10,0.77217
425,2020-08-11,0.89739
426,2020-08-12,0.66086
427,2020-08-13,0.68173
428,2020-08-14,0.71652
429,2020-08-15,0.59826
430,2020-08-16,0.70956
431,2020-08-17,0.84173
432,2020-08-18,0.70956
433,2020-08-19,0.66086
434,2020-08-20,0.61913
435,2020-08-21,0.85565
436,2020-08-22,0.9113
437,2020-08-23,1.17565
438,2020-08-24,0.72347
439,2020-08-25,0.79304
440,2020-08-26,0.75826
441,2020-08-27,0.77913
442,2020-08-28,0.62608
443,2020-08-29,0.77913
444,2020-08-30,0.8626
445,2020-08-31,0.76521
446,2020-09-01,0.60521
447,2020-09-02,0.73739
448,2020-09-03,0.71652
449,2020-09-04,0.7513
450,2020-09-05,0.8626
451,2020-09-06,0.95999
452,2020-09-07,0.86956
453,2020-09-08,0.71652
454,2020-09-09,0.84869
455,2020-09-10,0.75826
456,2020-09-11,0.79304
457,2020-09-12,0.7513
458,2020-09-13,0.7513
459,2020-09-14,1.05043
460,2020-09-15,1.40521
461,2020-09-16,1.26608
462,2020-09-17,1.04347
463,2020-09-18,1.20347
464,2020-09-19,1.21043
465,2020-09-20,1.67652
466,2020-09-21,1.63478
467,2020-09-22,2.75478
468,2020-09-23,1.73217
469,2020-09-24,1.20347
470,2020-09-25,1.05739
471,2020-09-26,1.09217
472,2020-09-27,1.03652
473,2020-09-28,1.0713
474,2020-09-29,1.17565
475,2020-09-30,1.30086
476,2020-10-01,1.21739
477,2020-10-02,1.14086
478,2020-10-03,1.21043
479,2020-10-04,1.46782
480,2020-10-05,0.95304
481,2020-10-06,0.90434
482,2020-10-07,0.8
483,2020-10-08,0.90434
484,2020-10-09,1.05739
485,2020-10-10,1.19652
486,2020-10-11,0.9113
487,2020-10-12,0.95304
488,2020-10-13,1.26608
489,2020-10-14,0.81391
490,2020-10-15,0.93217
491,2020-10-16,0.82782
492,2020-10-17,1.00869
493,2020-10-18,0.95999
494,2020-10-19,1.0226
495,2020-10-20,0.67478
496,2020-10-21,0.82086
497,2020-10-22,0.77217
498,2020-10-23,0.66782
499,2020-10-24,0.71652
500,2020-10-25,0.90434
501,2020-10-26,0.93217
502,2020-10-27,0.80695
503,2020-10-28,0.82086
504,2020-10-29,0.71652
505,2020-10-30,0.93217
506,2020-10-31,0.76521
507,2020-11-01,0.74434
508,2020-11-02,0.77217
509,2020-11-03,1.08521
510,2020-11-04,1.00173
511,2020-11-05,0.88347
512,2020-11-06,0.84173
513,2020-11-07,1.12
514,2020-11-08,1.10608
515,2020-11-09,0.79304
516,2020-11-10,0.84173
517,2020-11-11,0.99478
518,2020-11-12,0.78608
519,2020-11-13,1.03652
520,2020-11-14,0.96695
521,2020-11-15,1.02956
522,2020-11-16,0.72347
523,2020-11-17,0.84173
524,2020-11-18,0.87652
525,2020-11-19,0.82782
526,2020-11-20,1.7113
527,2020-11-21,0.87652
528,2020-11-22,1.3426
529,2020-11-23,0.89043
530,2020-11-24,1.37043
531,2020-11-25,1.0713
532,2020-11-26,1.0226
533,2020-11-27,0.95304
534,2020-11-28,1.20347
535,2020-11-29,1.44695
536,2020-11-30,1.87826
537,2020-12-01,2.1913
538,2020-12-02,1.60695
539,2020-12-03,1.44
540,2020-12-04,1.30782
541,2020-12-05,1.36347
542,2020-12-06,1.19652
543,2020-12-07,1.46782
544,2020-12-08,1.12695
545,2020-12-09,1.08521
546,2020-12-10,1.14086
547,2020-12-11,1.18956
548,2020-12-12,1.15478
549,2020-12-13,1.3913
550,2020-12-14,1.1826
551,2020-12-15,1.00173
552,2020-12-16,2.0313
553,2020-12-17,1.50956
554,2020-12-18,1.30782
555,2020-12-19,1.43304
556,2020-12-20,1.04347
557,2020-12-21,1.18956
558,2020-12-22,1.16869
559,2020-12-23,1.12
560,2020-12-24,1.62086
561,2020-12-25,1.7113
